country,counterfactual_version,phase,n_months,mean_observed,mean_counterfactual,mean_gap,cumulative_gap,percent_gap_vs_counterfactual_mean,share_months_above_counterfactual,share_months_above_upper_95,share_counterfactual_exceeds_100,country_label
Australia,logit,COVID_period,41,86.70731707317073,91.8052323349257,-5.0979152617549675,-209.01452573195368,-5.552968095714469,0.17073170731707318,0.04878048780487805,0.0,Australia
Australia,logit,Post_COVID,31,84.06451612903226,95.86146430086757,-11.79694817183531,-365.70539332689464,-12.306246579762025,0.0,0.0,0.0,Australia
Canada,logit,COVID_period,41,88.82926829268293,88.51673984817704,0.3125284445058836,12.813666224741226,0.3530727013239857,0.5609756097560976,0.0975609756097561,0.0,Canada
Canada,logit,Post_COVID,31,84.64516129032258,91.90735319872455,-7.262191908401952,-225.12794916046053,-7.901644053114494,0.06451612903225806,0.0,0.0,Canada
Ireland,logit,COVID_period,41,82.36585365853658,91.99981767086787,-9.633964012331278,-394.9925245055824,-10.471720766661816,0.024390243902439025,0.0,0.0,Ireland
Ireland,logit,Post_COVID,31,76.96774193548387,97.8439315597307,-20.876189624246837,-647.1618783516519,-21.33621297862767,0.0,0.0,0.0,Ireland
New_Zealand,logit,COVID_period,41,89.07317073170732,92.83752157629189,-3.7643508445845693,-154.33838462796734,-4.054773092462519,0.2926829268292683,0.04878048780487805,0.0,New Zealand
New_Zealand,logit,Post_COVID,31,84.06451612903226,97.73899679605539,-13.674480667023136,-423.9089006777172,-13.990813406399747,0.03225806451612903,0.03225806451612903,0.0,New Zealand
UK,logit,COVID_period,41,88.5609756097561,89.11556216607634,-0.5545865563202353,-22.73804880912965,-0.6223229061684021,0.5365853658536586,0.17073170731707318,0.0,United Kingdom
UK,logit,Post_COVID,31,86.83870967741936,94.59468558754128,-7.755975910121907,-240.4352532137791,-8.19916664657049,0.03225806451612903,0.0,0.0,United Kingdom
US,logit,COVID_period,41,85.36585365853658,83.71420332820307,1.6516503303335117,67.71766354367398,1.9729630871098258,0.7317073170731707,0.17073170731707318,0.0,United States
US,logit,Post_COVID,31,90.16129032258064,90.68649249959307,-0.5252021770124164,-16.28126748738491,-0.5791404679310682,0.3225806451612903,0.12903225806451613,0.0,United States
Australia,logit,Full_2020_2025,72,85.56944444444444,93.55166554248399,-7.98222109803956,-574.7199190588483,-8.532420082264219,0.09722222222222222,0.027777777777777776,0.0,Australia
Canada,logit,Full_2020_2025,72,87.02777777777777,89.97658726299609,-2.948809485218325,-212.31428293571938,-3.2773075473502167,0.3472222222222222,0.05555555555555555,0.0,Canada
Ireland,logit,Full_2020_2025,72,80.04166666666667,94.51603337301715,-14.474366706350477,-1042.1544028572343,-15.314191878139779,0.013888888888888888,0.0,0.0,Ireland
New_Zealand,logit,Full_2020_2025,72,86.91666666666667,94.94787896257895,-8.031212295912287,-578.2472853056846,-8.45854839904066,0.18055555555555555,0.041666666666666664,0.0,New Zealand
UK,logit,Full_2020_2025,72,87.81944444444444,91.47462919476263,-3.6551847503181767,-263.17330202290873,-3.9958453863046146,0.3194444444444444,0.09722222222222222,0.0,United Kingdom
US,logit,Full_2020_2025,72,87.43055555555556,86.71616116588488,0.7143943896706815,51.43639605628907,0.8238307370457403,0.5555555555555556,0.1527777777777778,0.0,United States
