country,origin,forecast_start,forecast_end,horizon_n,model_type,order,seasonal_order,MAE,RMSE,sMAPE,status
Canada,2023-12-01,2024-01-01,2024-12-01,12,Naive,,,5.0,5.446711546122731,5.802609480060301,OK
Canada,2023-12-01,2024-01-01,2024-12-01,12,SARIMA,"(1, 1, 1)","(0, 0, 1, 12)",6.717256088911152,7.830664429562528,7.650728420393807,OK
Canada,2023-12-01,2024-01-01,2024-12-01,12,SARIMAX,"(1, 1, 1)","(0, 0, 1, 12)",6.8770167945952645,7.981836013210376,7.823936807632732,OK
Canada,2023-12-01,2024-01-01,2024-12-01,12,Seasonal_Naive,,,4.0,4.725815626252608,4.543086189846954,OK
Ireland,2021-12-01,2022-01-01,2022-12-01,12,ARIMA,"(0, 1, 1)","(0, 0, 0, 0)",6.4423097659721975,7.289803395491346,8.008410136961357,OK
Ireland,2021-12-01,2022-01-01,2022-12-01,12,Naive,,,4.416666666666667,5.530220007679019,5.551417665899,OK
Ireland,2021-12-01,2022-01-01,2022-12-01,12,SARIMA,"(2, 1, 1)","(0, 1, 1, 12)",5.84967610580873,6.608090847689358,7.260234219921127,OK
Ireland,2021-12-01,2022-01-01,2022-12-01,12,SARIMAX,"(2, 1, 1)","(0, 1, 1, 12)",5.165978180440756,6.05663613707355,6.441433269816489,OK
Ireland,2021-12-01,2022-01-01,2022-12-01,12,Seasonal_Naive,,,7.5,8.981462390204987,9.069307309628783,OK
Ireland,2022-12-01,2023-01-01,2023-12-01,12,ARIMA,"(0, 1, 1)","(0, 0, 0, 0)",4.745933107089253,5.419878146470872,5.952720933350597,OK
Ireland,2022-12-01,2023-01-01,2023-12-01,12,Naive,,,7.416666666666667,8.241156876717412,9.455152479694604,OK
Ireland,2022-12-01,2023-01-01,2023-12-01,12,SARIMA,"(2, 1, 1)","(0, 1, 1, 12)",3.6592072193107703,4.384344437956825,4.577030469256903,OK
Ireland,2022-12-01,2023-01-01,2023-12-01,12,SARIMAX,"(2, 1, 1)","(0, 1, 1, 12)",13.92138287449459,16.59795803216847,15.710662197624274,OK
Ireland,2022-12-01,2023-01-01,2023-12-01,12,Seasonal_Naive,,,4.0,4.881939505292269,4.982931943501198,OK
Ireland,2023-05-01,2023-06-01,2024-05-01,12,ARIMA,"(0, 1, 1)","(0, 0, 0, 0)",4.269310012470868,5.451337074577223,5.373737362531084,OK
Ireland,2023-05-01,2023-06-01,2024-05-01,12,Naive,,,3.9166666666666665,4.8218253804964775,4.949631821861019,OK
Ireland,2023-05-01,2023-06-01,2024-05-01,12,SARIMA,"(2, 1, 1)","(0, 1, 1, 12)",4.492090822979898,5.5479601065437665,5.5807955587639215,OK
Ireland,2023-05-01,2023-06-01,2024-05-01,12,SARIMAX,"(2, 1, 1)","(0, 1, 1, 12)",24.349227933990445,24.84708346382874,26.641319475085872,OK
Ireland,2023-05-01,2023-06-01,2024-05-01,12,Seasonal_Naive,,,4.166666666666667,5.082650227325635,5.2200445738111005,OK
Ireland,2023-12-01,2024-01-01,2024-12-01,12,ARIMA,"(0, 1, 1)","(0, 0, 0, 0)",6.673831676523089,7.773009471262243,8.32232606724816,OK
Ireland,2023-12-01,2024-01-01,2024-12-01,12,Naive,,,4.916666666666667,5.737304826019502,6.221900820180809,OK
Ireland,2023-12-01,2024-01-01,2024-12-01,12,SARIMA,"(2, 1, 1)","(0, 1, 1, 12)",8.099500033584661,8.895669419046687,9.929631038543139,OK
