country,counterfactual_version,phase,n_months,mean_observed,mean_counterfactual,mean_gap,cumulative_gap,percent_gap_vs_counterfactual_mean,share_months_above_counterfactual,share_months_above_upper_95,share_counterfactual_exceeds_100,country_label
Australia,capped,COVID_period,41,86.70731707317073,95.10648958173743,-8.399172508566691,-344.3660728512343,-8.831334796925908,0.024390243902439025,0.0,0.0,Australia
Australia,capped,Post_COVID,31,84.06451612903226,99.78198434652725,-15.717468217494995,-487.24151474234486,-15.751809628189676,0.0,0.0,0.0,Australia
Australia,logit,COVID_period,41,86.70731707317073,91.8052323349257,-5.0979152617549675,-209.01452573195368,-5.552968095714469,0.17073170731707318,0.04878048780487805,0.0,Australia
Australia,logit,Post_COVID,31,84.06451612903226,95.86146430086757,-11.79694817183531,-365.70539332689464,-12.306246579762025,0.0,0.0,0.0,Australia
Australia,raw,COVID_period,41,86.70731707317073,96.20499132434128,-9.49767425117055,-389.40464429799255,-9.872330032389389,0.024390243902439025,0.0,0.3170731707317073,Australia
Australia,raw,Post_COVID,31,84.06451612903226,110.5058320362809,-26.44131590724864,-819.6807931247079,-23.92752981450564,0.0,0.0,0.9354838709677419,Australia
Canada,capped,COVID_period,41,88.82926829268293,92.86443858407243,-4.035170291389499,-165.44198194696946,-4.345226604408276,0.34146341463414637,0.0,0.0,Canada
Canada,capped,Post_COVID,31,84.64516129032258,99.19578708865437,-14.550625798331785,-451.0693997482853,-14.668592513235906,0.0,0.0,0.0,Canada
Canada,logit,COVID_period,41,88.82926829268293,88.51673984817704,0.3125284445058836,12.813666224741226,0.3530727013239857,0.5609756097560976,0.0975609756097561,0.0,Canada
Canada,logit,Post_COVID,31,84.64516129032258,91.90735319872455,-7.262191908401952,-225.12794916046053,-7.901644053114494,0.06451612903225806,0.0,0.0,Canada
Canada,raw,COVID_period,41,88.82926829268293,93.2291977745379,-4.399929481854967,-180.39710875605365,-4.719475858298809,0.34146341463414637,0.0,0.14634146341463414,Canada
