country,order,seasonal_order,exog_set,AIC,BIC,converged,resid_n,resid_mean,resid_std,LjungBox_p12,LjungBox_p24,ARCH_LM_p12,JarqueBera_p,status,early_covid_shock_coef,early_covid_shock_pvalue,covid_period_coef,covid_period_pvalue,covid_trend_coef,covid_trend_pvalue,post_covid_period_coef,post_covid_period_pvalue,post_covid_trend_coef,post_covid_trend_pvalue
Australia,"(1, 1, 1)","(0, 1, 1, 12)",early_covid_shock+covid_period+covid_trend+post_covid_period+post_covid_trend,1307.5938279786221,1342.2744293899734,True,264,0.10263045243217887,4.1836519088653,0.06263099639734122,0.10056592327396259,6.2707107208282e-13,1.8079637130996287e-160,OK,-1.089192622938792,0.6306582428428941,-2.0602454005293476,0.5940174964408199,-0.5194856039081073,0.029926029854338128,-23.760273086497364,0.024893255979007628,-0.9619091119181212,0.005256838266917981
Canada,"(1, 1, 1)","(0, 0, 1, 12)",early_covid_shock+covid_period+covid_trend+post_covid_period+post_covid_trend,1408.2802789904683,1443.4548079551155,True,264,0.05369645110851798,4.376930082169497,0.019799001940584163,2.9766308680278433e-09,0.013239717387983413,0.0,OK,-7.876625705649936,0.07501387159079462,1.8419846726174667,0.6068589344375417,-0.3189727442341499,0.11851123916303495,-11.146010634243481,0.26700901924233844,-0.6465570382123215,0.0017951806615641426
Ireland,"(2, 1, 1)","(0, 1, 1, 12)",early_covid_shock+covid_period+covid_trend+post_covid_period+post_covid_trend,1376.663516540739,1414.8121780932254,True,264,0.11691978722742259,4.69400989167121,0.980827457682701,0.8510330275988551,1.1762802858972702e-05,1.4082273484298384e-82,OK,-4.680619939590592,0.3394025169206043,-0.3434630479639791,0.9628603035348912,-0.6150267919882519,0.1118876129386601,-28.517145045277964,0.10104973205259707,-0.8445807383915629,0.08741786545013686
New_Zealand,"(0, 1, 1)","(1, 0, 0, 12)",early_covid_shock+covid_period+covid_trend+post_covid_period+post_covid_trend,1559.4271787467883,1591.1562551989743,True,264,0.0718706419349473,5.678170390088023,0.03892669559465869,0.1466380137480235,0.5837525519178037,1.5645825590903036e-11,OK,0.43511701834230976,0.9206809827567466,-2.6686412232593693,0.7190499264541392,0.253800314374794,0.6620843068564275,5.356142073489815,0.8356209990922068,-0.8936941365604432,0.18117124287913355
UK,"(2, 1, 1)","(0, 0, 1, 12)",early_covid_shock+covid_period+covid_trend+post_covid_period+post_covid_trend,1366.616931208951,1405.3089130700628,True,264,0.037585754569705365,3.698106796717078,0.20047294518075895,4.38915780581373e-07,4.1019390681539035e-05,3.144294897229972e-23,OK,-9.868751824443367,1.659822869814039e-06,3.425562502867153,0.13120066472344608,-0.31469465463274526,0.1963947386739877,-8.929539576398797,0.3952729288250605,-0.5263283453998703,0.03508988179975022
US,"(1, 1, 1)","(1, 1, 1, 12)",early_covid_shock+covid_period+covid_trend+post_covid_period+post_covid_trend,1198.4764451676103,1236.6251067200967,False,264,0.08325872052032567,3.440926509531411,0.06336053140915544,0.14345930572781967,3.66751721335635e-20,0.0,OK,-2.4398291839656876,0.14683299636913336,0.9803195009193231,0.7348951474912718,-0.30948956449580517,0.1574413642744864,-14.386883480164506,0.12077385888173238,-0.49698635484635334,0.049463364844802404
