country,date,phase,counterfactual_version,observed,counterfactual_mean,counterfactual_lower_95,counterfactual_upper_95,gap,observed_above_counterfactual,observed_above_upper_95,counterfactual_exceeds_100,selected_order,selected_seasonal_order
Australia,2020-11-01,COVID_period,raw,80.0,89.44405216606835,78.60657748661882,100.28152684551787,-9.444052166068346,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2020-11-01,COVID_period,capped,80.0,89.44405216606835,78.60657748661882,100.0,-9.444052166068346,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2020-11-01,COVID_period,logit,80.0,89.04233896838981,80.7072279275334,94.04244036539076,-9.042338968389814,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2020-12-01,COVID_period,raw,72.0,81.40818379448368,70.23851600286675,92.5778515861006,-9.408183794483676,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2020-12-01,COVID_period,capped,72.0,81.40818379448368,70.23851600286675,92.5778515861006,-9.408183794483676,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2020-12-01,COVID_period,logit,72.0,82.02592760276896,69.76683161448096,90.02505959450846,-10.02592760276896,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-01-01,COVID_period,raw,83.0,86.8254818682881,75.19522131759852,98.45574241897766,-3.825481868288094,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-01-01,COVID_period,capped,83.0,86.8254818682881,75.19522131759852,98.45574241897766,-3.825481868288094,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-01-01,COVID_period,logit,83.0,85.43652356794323,74.3652042385854,92.22634759073092,-2.436523567943226,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-02-01,COVID_period,raw,85.0,95.70124661629794,83.68919495209457,107.7132982805013,-10.701246616297936,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-02-01,COVID_period,capped,85.0,95.70124661629794,83.68919495209457,100.0,-10.701246616297936,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-02-01,COVID_period,logit,85.0,92.1283797451173,85.02200480786672,96.02114294447574,-7.1283797451173,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-03-01,COVID_period,raw,94.0,98.77081514438501,86.40121498093565,111.14041530783437,-4.770815144385011,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-03-01,COVID_period,capped,94.0,98.77081514438501,86.40121498093565,100.0,-4.770815144385011,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-03-01,COVID_period,logit,94.0,95.35547087874852,90.72043612410656,97.73346843094366,-1.3554708787485197,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-04-01,COVID_period,raw,88.0,96.49290774605204,83.77844443770127,109.20737105440281,-8.49290774605204,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-04-01,COVID_period,capped,88.0,96.49290774605204,83.77844443770127,100.0,-8.49290774605204,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-04-01,COVID_period,logit,88.0,92.37883955681284,85.0089897930258,96.28418183530694,-4.378839556812835,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-05-01,COVID_period,raw,95.0,98.36255669423218,85.31290288946892,111.41221049899545,-3.3625566942321825,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-05-01,COVID_period,capped,95.0,98.36255669423218,85.31290288946892,100.0,-3.3625566942321825,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-05-01,COVID_period,logit,95.0,93.01302567297692,85.95676778132989,96.6617272723599,1.986974327023077,1,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
