country,best_test_model,order,seasonal_order,exog_set,AIC_refit,BIC_refit,test_MAE,best_test_RMSE,best_test_sMAPE,resid_n,resid_mean,resid_std,LjungBox_p12,LjungBox_p24_x,ARCH_LM_p12_x,JarqueBera_p_x,status,country_label,model_label,significant_sarimax_terms_5pct,LjungBox_p24_y,ARCH_LM_p12_y,JarqueBera_p_y,lb24_pass_5pct,arch_pass_5pct,jb_pass_5pct,logit_full_mean_gap,logit_full_percent_gap,logit_share_above_counterfactual,logit_share_above_upper_95,ARIMA,Naive,SARIMA,SARIMAX,Seasonal_Naive,best_test_model_label,forecast_label,intervention_label,diagnostics_label,counterfactual_label
Australia,Seasonal_Naive,,,,,,3.903225806451613,5.220925637866243,4.512261555540563,221,25.877828054298643,24.840372321674067,0.0,0.0,1.1505424999145912e-34,5.214695924261556e-06,OK,Australia,Seasonal Naive,"covid_trend: negative (coef=-0.519, p=0.030); post_covid_period: negative (coef=-23.760, p=0.025); post_covid_trend: negative (coef=-0.962, p=0.005)",0.1005659232739625,6.270710720828199e-13,1.8079637130996287e-160,True,False,False,-7.98222109803956,-8.532420082264219,0.0972222222222222,0.0277777777777777,12.874956550212138,15.892785947129925,8.630129699985567,38.80502373609279,5.220925637866243,Seasonal Naive,benchmark-dominant forecast case,negative or declining intervention evidence,residual diagnostics unavailable,observed below logit counterfactual on average
Canada,Seasonal_Naive,,,,,,4.225806451612903,5.064105181601443,4.94175723581715,221,25.12217194570136,24.54992143641068,0.0,0.0,6.219139503031836e-36,4.611720615272491e-06,OK,Canada,Seasonal Naive,"post_covid_trend: negative (coef=-0.647, p=0.002)",2.9766308680278433e-09,0.0132397173879834,0.0,False,False,False,-2.948809485218325,-3.2773075473502167,0.3472222222222222,0.0555555555555555,8.992276251132095,5.877787602216857,12.302622337004657,21.63592546661831,5.064105181601443,Seasonal Naive,benchmark-dominant forecast case,negative or declining intervention evidence,residual diagnostics unavailable,observed below logit counterfactual on average
Ireland,Seasonal_Naive,,,,,,4.096774193548387,5.509522548250204,5.252198162403468,221,26.407239819004523,26.976932118732293,0.0,0.0,1.1913119221074743e-34,8.580914927509327e-06,OK,Ireland,Seasonal Naive,No significant SARIMAX intervention terms at 5%.,0.8510330275988551,1.1762802858972702e-05,1.4082273484298384e-82,True,False,False,-14.474366706350477,-15.31419187813978,0.0138888888888888,0.0,9.98997693403306,6.463295873498837,9.206977570520426,32.84450582045805,5.509522548250204,Seasonal Naive,benchmark-dominant forecast case,no significant SARIMAX intervention terms,residual diagnostics unavailable,observed below logit counterfactual on average
New_Zealand,Seasonal_Naive,,,,,,6.387096774193548,8.226628674909225,7.401847149969511,221,26.67873303167421,26.64174697770133,0.0,0.0,4.474914567937712e-34,6.896302877316268e-05,OK,New Zealand,Seasonal Naive,No significant SARIMAX intervention terms at 5%.,0.1466380137480235,0.5837525519178037,1.5645825590903036e-11,True,True,False,-8.031212295912287,-8.45854839904066,0.1805555555555555,0.0416666666666666,15.025975167588538,17.199962490581754,17.197160774724384,9.728384860864193,8.226628674909225,Seasonal Naive,benchmark-dominant forecast case,no significant SARIMAX intervention terms,residual diagnostics unavailable,observed below logit counterfactual on average
UK,Seasonal_Naive,,,,,,3.741935483870968,4.71100290671708,4.422433561416391,221,30.15384615384616,28.847937473994502,0.0,0.0,2.227416872185204e-36,3.524576579472986e-06,OK,United Kingdom,Seasonal Naive,"early_covid_shock: negative (coef=-9.869, p=0.000); post_covid_trend: negative (coef=-0.526, p=0.035)",4.38915780581373e-07,4.101939068153904e-05,3.144294897229972e-23,False,False,False,-3.6551847503181767,-3.995845386304615,0.3194444444444444,0.0972222222222222,10.28416835761302,6.140820581921837,11.822027951432958,19.445630116481283,4.71100290671708,Seasonal Naive,benchmark-dominant forecast case,negative or declining intervention evidence,residual diagnostics unavailable,observed below logit counterfactual on average
US,Naive,,,,,,3.193548387096774,4.299287262761345,3.5102554592557054,232,-42.05172413793103,23.18506192749071,0.0,0.0,7.145777929627378e-40,4.265036683420681e-06,OK,United States,Naive,"post_covid_trend: negative (coef=-0.497, p=0.049)",0.1434593057278196,3.66751721335635e-20,0.0,True,False,False,0.7143943896706815,0.8238307370457403,0.5555555555555556,0.1527777777777778,6.963280331068423,4.299287262761345,9.213931916881355,16.556629467214297,7.202150216562792,Naive,benchmark-dominant forecast case,negative or declining intervention evidence,residual diagnostics unavailable,observed above logit counterfactual on average
