country,order,seasonal_order,AIC,BIC,converged,status
New_Zealand,"(0, 1, 1)","(0, 1, 1, 12)",993.787412168594,1006.2111940641963,True,OK
New_Zealand,"(1, 1, 1)","(0, 1, 1, 12)",995.1072409959809,1010.6369683654838,True,OK
New_Zealand,"(2, 1, 1)","(0, 1, 1, 12)",995.6440132766679,1014.2796861200713,True,OK
New_Zealand,"(1, 1, 2)","(0, 1, 1, 12)",989.0333636965921,1007.6325622635374,True,OK
New_Zealand,"(0, 1, 1)","(1, 1, 0, 12)",1044.5773246549077,1057.0492999045746,True,OK
New_Zealand,"(1, 1, 1)","(1, 1, 0, 12)",1039.9995030657965,1055.5594420075793,True,OK
New_Zealand,"(2, 1, 1)","(1, 1, 0, 12)",1030.1202440653367,1048.7559169087401,True,OK
New_Zealand,"(1, 1, 1)","(1, 0, 1, 12)",1059.1377080366422,1078.194606432085,True,OK
New_Zealand,"(1, 1, 1)","(1, 1, 1, 12)",988.756933966567,1007.3926068099704,True,OK
UK,"(0, 1, 1)","(0, 0, 1, 12)",918.4551475879344,931.1597465182298,True,OK
UK,"(1, 1, 1)","(0, 0, 1, 12)",919.7973218190032,935.6780704818723,True,OK
UK,"(2, 1, 1)","(0, 0, 1, 12)",921.3938714464258,940.4507698418688,True,OK
UK,"(1, 1, 2)","(0, 0, 1, 12)",917.4834417359,936.5063457061289,True,OK
UK,"(0, 1, 1)","(1, 0, 0, 12)",883.2294411361295,895.9789843594925,True,OK
UK,"(1, 1, 1)","(1, 0, 0, 12)",880.5733195020161,896.4822372534766,True,OK
UK,"(2, 1, 1)","(1, 0, 0, 12)",877.885870864905,896.942769260348,True,OK
UK,"(0, 1, 1)","(0, 1, 1, 12)",803.3361092162185,815.7598911118208,True,OK
UK,"(1, 1, 1)","(0, 1, 1, 12)",805.3122603956901,820.841987765193,True,OK
UK,"(2, 1, 1)","(0, 1, 1, 12)",807.307495407975,825.9431682513784,True,OK
UK,"(1, 1, 2)","(0, 1, 1, 12)",803.2310697449034,821.8302683118486,True,OK
UK,"(0, 1, 1)","(1, 1, 0, 12)",822.5247196233204,834.9966948729874,True,OK
UK,"(1, 1, 1)","(1, 1, 0, 12)",820.2803149288227,835.8402538706055,True,OK
UK,"(2, 1, 1)","(1, 1, 0, 12)",818.2624526378786,836.898125481282,True,OK
UK,"(1, 1, 1)","(1, 0, 1, 12)",858.1925678919338,877.2494662873768,True,OK
UK,"(1, 1, 1)","(1, 1, 1, 12)",810.1046136848117,828.7402865282152,True,OK
US,"(0, 1, 1)","(0, 0, 1, 12)",847.812534997396,860.5171339276914,True,OK
US,"(1, 1, 1)","(0, 0, 1, 12)",849.7929219451335,865.6736706080026,True,OK
US,"(2, 1, 1)","(0, 0, 1, 12)",851.426541530147,870.48343992559,True,OK
US,"(1, 1, 2)","(0, 0, 1, 12)",846.5557231961343,865.5786271663632,True,OK
US,"(0, 1, 1)","(1, 0, 0, 12)",835.5072682039226,848.2568114272857,True,OK
US,"(1, 1, 1)","(1, 0, 0, 12)",831.4783123693035,847.3872301207639,True,OK
US,"(2, 1, 1)","(1, 0, 0, 12)",827.7316570854944,846.7885554809374,True,OK
US,"(0, 1, 1)","(0, 1, 1, 12)",750.9248950841477,763.34867697975,True,OK
US,"(1, 1, 1)","(0, 1, 1, 12)",748.0096887748958,763.5394161443987,True,OK
US,"(2, 1, 1)","(0, 1, 1, 12)",748.1982127537663,766.8338855971697,True,OK
US,"(1, 1, 2)","(0, 1, 1, 12)",743.0193057242068,761.618504291152,True,OK
US,"(0, 1, 1)","(1, 1, 0, 12)",789.9184775959209,802.3904528455879,True,OK
US,"(1, 1, 1)","(1, 1, 0, 12)",776.3911296649358,791.9510686067185,True,OK
US,"(2, 1, 1)","(1, 1, 0, 12)",773.1770949026795,791.812767746083,True,OK
US,"(1, 1, 1)","(1, 0, 1, 12)",805.4905713902663,824.5474697857093,True,OK
US,"(1, 1, 1)","(1, 1, 1, 12)",750.0091198406999,768.6447926841033,True,OK
