model_type,n_tests,n_significant_5pct,mean_loss_diff,median_pvalue,share_underperforming,model_label
ARIMA,6,5,89.14059929616525,0.0057583863067496,1.0,ARIMA
SARIMA,6,5,106.56473545481742,0.0255443803614351,1.0,SARIMA
SARIMAX,6,5,601.3312965438013,4.7601310562583876e-05,1.0,SARIMAX
