model_type,n_forecasts,n_countries,mean_RMSE,median_RMSE,mean_sMAPE,model_label
Seasonal_Naive,24,6,5.730213466493748,5.415101804479379,5.538727172867552,Seasonal Naive
SARIMA,24,6,6.527620023603195,5.940603729066982,6.344843133414134,SARIMA
ARIMA,24,6,6.880576755433861,6.786893718381938,6.489420295766361,ARIMA
Naive,24,6,10.469653568458781,8.368126750816925,11.332736101015522,Naive
SARIMAX,24,6,10.55850189951499,8.171600357752519,10.537639708944877,SARIMAX
