,anxiety,anxiety,anxiety,anxiety,anxiety,anxiety,depression,depression,depression,depression,depression,depression,stress,stress,stress,stress,stress,stress,insomnia,insomnia,insomnia,insomnia,insomnia,insomnia,mental_disorder,mental_disorder,mental_disorder,mental_disorder,mental_disorder,mental_disorder
,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max
country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,264,59.40151515151515,25.31425599599854,21.0,60.0,100.0,264,37.28409090909091,21.30849749114442,4.0,42.0,91.0,264,27.545454545454547,11.027696646567877,1.0,29.0,49.0,264,8.992424242424242,1.7527651684363843,5.0,9.0,13.0,264,26.147727272727273,11.009024752164837,10.0,23.0,69.0
Canada,264,59.86742424242424,24.923179298477333,26.0,59.0,100.0,264,35.041666666666664,15.91930000976846,7.0,38.0,72.0,264,28.890151515151516,10.402144849378427,1.0,31.0,56.0,264,10.454545454545455,1.614401142020062,7.0,10.0,16.0,264,23.757575757575758,9.199620765965575,10.0,21.0,70.0
Ireland,264,53.83143939393939,26.54505493453561,12.0,51.5,100.0,264,31.15909090909091,17.63651998533797,3.0,35.0,71.0,264,26.174242424242426,11.38339542663374,1.0,29.0,58.0,264,10.274621212121213,3.067924513285619,4.0,10.0,21.0,264,17.426136363636363,7.759774814235657,7.0,15.0,51.0
New_Zealand,264,58.109848484848484,26.413343096114836,18.0,54.0,100.0,264,38.78409090909091,22.413389973874576,3.0,46.0,88.0,264,30.37878787878788,12.68125187414546,1.0,33.0,68.0,264,10.9375,2.106909063199326,5.0,11.0,16.0,264,25.08712121212121,11.075440615928686,9.0,23.0,72.0
UK,264,53.041666666666664,29.893253792565254,14.0,49.5,100.0,264,27.21590909090909,14.025329229893789,3.0,30.5,54.0,264,25.973484848484848,10.521174447942023,1.0,28.0,45.0,264,7.859848484848484,2.211114676772327,4.0,8.0,15.0,264,20.640151515151516,10.457012200407217,8.0,17.0,71.0
US,264,57.21969696969697,24.93575452839195,22.0,51.5,100.0,264,30.303030303030305,13.929720063537085,5.0,35.0,56.0,264,26.78030303030303,9.820684614407295,1.0,29.0,47.0,264,9.962121212121213,2.0943716101794156,6.0,10.0,15.0,264,21.53409090909091,7.520237128627768,11.0,19.0,52.0
