country,covid_period,post_covid,pre_covid,covid_minus_pre,post_minus_pre,covid_pct_vs_pre,post_pct_vs_pre
Australia,86.70731707317073,84.06451612903226,49.588541666666664,37.118775406504064,34.47597446236559,74.85353301175067,69.52407411799385
Canada,88.82926829268293,84.64516129032258,49.682291666666664,39.14697662601626,34.96286962365591,78.79462744727039,70.37290038517597
Ireland,82.36585365853658,76.96774193548387,44.002604166666664,38.363249491869915,32.96513776881721,87.18404335016895,74.9163336877896
New_Zealand,89.07317073170732,84.06451612903226,47.307291666666664,41.76587906504066,36.75722446236559,88.28634570613019,77.69885606929643
UK,88.5609756097561,86.83870967741936,40.0,48.5609756097561,46.83870967741936,121.40243902439025,117.09677419354838
US,85.36585365853658,90.16129032258064,45.890625,39.47522865853658,44.27066532258064,86.02024631073685,96.46995507814646
