country,analysis_phase,anxiety,depression,stress,insomnia,mental_disorder
Australia,covid_period,86.70731707317073,23.536585365853657,35.292682926829265,11.121951219512194,33.63414634146341
Australia,post_covid,84.06451612903226,6.225806451612903,15.387096774193548,10.548387096774194,15.548387096774194
Australia,pre_covid,49.588541666666664,45.234375,27.854166666666668,8.286458333333334,26.260416666666668
Canada,covid_period,88.82926829268293,26.634146341463413,35.51219512195122,11.585365853658537,31.51219512195122
Canada,post_covid,84.64516129032258,9.935483870967742,20.903225806451612,10.96774193548387,16.193548387096776
Canada,pre_covid,49.682291666666664,40.890625,28.765625,10.130208333333334,23.322916666666668
Ireland,covid_period,82.36585365853658,19.658536585365855,32.24390243902439,10.731707317073171,20.951219512195124
Ireland,post_covid,76.96774193548387,4.483870967741935,12.129032258064516,10.290322580645162,9.935483870967742
Ireland,pre_covid,44.002604166666664,37.921875,27.145833333333332,10.174479166666666,17.8828125
New_Zealand,covid_period,89.07317073170732,23.536585365853657,36.41463414634146,12.707317073170731,30.804878048780488
New_Zealand,post_covid,84.06451612903226,6.354838709677419,16.548387096774192,11.387096774193548,13.903225806451612
New_Zealand,pre_covid,47.307291666666664,47.276041666666664,31.322916666666668,10.486979166666666,25.671875
UK,covid_period,88.5609756097561,21.365853658536587,34.75609756097561,9.829268292682928,28.926829268292682
UK,post_covid,86.83870967741936,5.548387096774194,15.67741935483871,9.096774193548388,11.67741935483871
UK,pre_covid,40.0,31.963541666666668,25.760416666666668,7.239583333333333,20.317708333333332
US,covid_period,85.36585365853658,25.634146341463413,33.63414634146341,12.341463414634147,29.0
US,post_covid,90.16129032258064,8.451612903225806,15.870967741935484,11.935483870967742,16.93548387096774
US,pre_covid,45.890625,34.828125,27.078125,9.135416666666666,20.682291666666668
